id,relation,source,target
22564,r_dns_a,Domain_4227fb2dd9688f03625b1355b9941ee9b0ab4e577def7c3179303a96b3dff829,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22613,r_dns_a,Domain_01555a9b5f84626bb412ad29bac88c721da635b61dfebede4c596e37e316f193,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22635,r_dns_a,Domain_b0535c02ff4621e0d41c92280d62b29b04679799ed6931e3b458c718cb88a104,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22682,r_dns_a,Domain_2ba3ae4b4241039ebe5eb62cd30d145052d3812f7a41291ca35d7318a29d4789,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22708,r_dns_a,Domain_99bfb0876ad5d86d05ba81bb85ec3601bf2f11736dbf041bbe439165adea8a49,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22788,r_dns_a,Domain_02ecf83282282da3919808ade1ac31e7538b7ad3f2e3dc2297cbfe9149143bfa,IP_6b5f6087ab963dd71a6c4aabbe593a953690cb156ed87bb84e13499ab1866fe9
22876,r_dns_a,Domain_7604829f71a8e9b05a9d22dbdc4794e92a5d4acca2e1a827b0eb841661ed565d,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22900,r_dns_a,Domain_da81b9dec1037a319be77e26bae3ccf3cba93bdf947a566c30f5186cd62f7efd,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
22997,r_dns_a,Domain_7ec3eddd9dac7db173d69934b478e7fa1ba6fe76e3563be32701ea956cabd5e8,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
23069,r_dns_a,Domain_592309c75c5afd2f0b27a25b49814a8b91dcd56dc5053c181d1f9d858cedbe12,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
23437,r_dns_a,Domain_7084151479e166730726d5b3f87515ea694ba334234059aaf8892ad0c5ac774c,IP_6b5f6087ab963dd71a6c4aabbe593a953690cb156ed87bb84e13499ab1866fe9
23539,r_dns_a,Domain_5a46bdc750ff57e3b90a40016da967050944886ca19752d68b3d766f474e8e60,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
23564,r_subdomain,Domain_1af571b08126316100c5881d0b6e2dc7e349572d3dc30623d117b6ba1e604f69,Domain_3463c4d7394dd9ed9e0bcafeaed3cf8691dc7dac01cbe3e84bba8391d93a7b38
23582,r_dns_a,Domain_1af571b08126316100c5881d0b6e2dc7e349572d3dc30623d117b6ba1e604f69,IP_a2794c275e85fb3b46b932dd1904e921553158e0a38a611c9773e1ce444ae6e5
23586,r_dns_a,Domain_3463c4d7394dd9ed9e0bcafeaed3cf8691dc7dac01cbe3e84bba8391d93a7b38,IP_a2794c275e85fb3b46b932dd1904e921553158e0a38a611c9773e1ce444ae6e5
23618,r_dns_a,Domain_5ab8ac1d96964be92e9019fccc5d664e1b506bb925078cf22cab40ac19ce8f8e,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
23643,r_dns_a,Domain_ed285d6e89f094a8c8088cf369c0e8ac5ba3b6616fd2dece7087e59e6a541b5a,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
23759,r_cidr,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd,IP_CIDR_78bda1d78d07476864267f62b7ea22abfd4991541447eca90a127a59a26d41c8
23764,r_dns_a,Domain_b41f7c254ce6203bce04da3608fb56428805b657c3e18c55f8977b20d404660e,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
23783,r_dns_a,Domain_9c320789c196cc61dacd9d98bb193b22e623042f23749a2d095b88e80f64bc00,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
23789,r_dns_a,Domain_5e8604757c6d9101fad9a11c86788683ba58936215fa06c3f7f3b3ddac015f74,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
23813,r_dns_a,Domain_6fe5299f3138ac3263d7327ad1a6f1f1869569cabeb19a06e777b0796b9d79f3,IP_b1fc9978629ee1cc2b8907d910cc86b40866348b7f1cd0ebbc2159b8b32bb966
23900,r_dns_a,Domain_3cbc643f48f8281d958dbeeb8ca81390f2410d5d93794a5097f193717b237b79,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
23936,r_dns_a,Domain_1b7b460d8efcbb69748401192d0b2e01cc5bc1086dcc82602dbaf5d6d20bf78c,IP_1b77e0c5abcf8173b7d41e3bc3a6e72ec322565943e484bdb24dfeebac92a880
24013,r_dns_a,Domain_4d983d3d787f80f54babbdb341dd36ceaa4cf47996d91aa7625e20f04140a515,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24038,r_dns_a,Domain_b61bc3ff0dc41960529c95f2bc52ec7808f652dc141990dba209ef1ae5f73581,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24107,r_dns_a,Domain_fd8371c5eaae8430a3d8f3da5660b459a4ed1cbf7bad541a28b40ca033a790a6,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24196,r_dns_a,Domain_b53ebc0af8c54abe4477ba5a427d65580204dd1ad3d2075e9011d2e466dd9401,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24305,r_dns_a,Domain_5d7a27a64c9e72067775a6f0acb379f1885d12db476b54ac732e81237e00e61d,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24378,r_dns_a,Domain_cd8e6a81e079f72f431556d689240f2acab032b42a73dbcff5c105247afde4eb,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24427,r_dns_a,Domain_f8e70221cd9d1aec2dd01e24139f685b795462d648ba89ccdffc421e2332285e,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24477,r_dns_a,Domain_e1ba28ad9a2ebec4614af907ca07283a0686cdbd7a85226ce0a754d15f0850f2,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24549,r_dns_a,Domain_557f1bdd4aeb323f604724b356bde414ca189aacd34580d23ac88466cff28f67,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24573,r_dns_a,Domain_521d403d21ea84cdcf6039e40f2d88e83fd8f3abf74f4780d4fb2e2c61b004cd,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24622,r_dns_a,Domain_e54e9135221fc7d94a1815403e3fcf070a3fb2a5de59bd734a627323f2194570,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24646,r_dns_a,Domain_6bb7f35fc7f485ce1907a7af1ebfc845c1e1e5b8d2e0cb09ad2ce02f2294a2fc,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24817,r_dns_a,Domain_bbb589ed95f74d19f4a06d3cd0c2d31f19ff9f8fbcdaf702bb36d49f393b2458,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24884,r_dns_a,Domain_b00c80649d23d066e8d481a9d70932265656d5158897102f3abf701cb361ed23,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
24995,r_dns_a,Domain_d09d65fd8986840def8c073f84ef12434b2c587ef0f60fe5478824d60bca937c,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
25016,r_dns_a,Domain_8b12c0f99ad6e8bcac84a751069e1acb85b20cb502a9637005cf6868769979ab,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
25085,r_dns_a,Domain_060da769c4151a9725aaea3c65346a73d1008af3e3ecada88167c653a9819877,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
25215,r_dns_a,Domain_73b2396402dec81c04b60ab0540a5bfbd7578b85203c2439f9343e8613702056,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
25301,r_dns_a,Domain_a765f95d0ec3812b8bb5c010763c4ec853e4d75a17b018c5d99e4b4e6a5fdd78,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
25520,r_dns_a,Domain_34a0f4ce609b0730db27ade444bf100dc8746336aa5fafc111801ab127586094,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
25592,r_dns_a,Domain_b6345fc24f7c310eab85ff5659de2a21e591d1243157c60f15e41bb670932a3e,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
25719,r_dns_a,Domain_22efeff65cb09c8a806ca33eefbd1008d5557f36b8c0dffabb4569e8e88a1f0d,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
25793,r_dns_a,Domain_d5bf89ea123de98cc9262cc2fae26252336c200f100ddebeeb3827fa51bd7178,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
25866,r_dns_a,Domain_55f2c9cd8bbf62c654f27e82720c782b6de07c444da9152e773db7cc303d64de,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
25891,r_dns_a,Domain_6843254892b152b322ba55991a29fc8840407a18320f266c564e367fdfb902b4,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
25938,r_dns_a,Domain_07e72489908a8a4adfa270fc2d637151dcbeb823fd2056bbab795912305f66ce,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
25962,r_dns_a,Domain_0647ab59acc203a86a137a2a113cd56ee99f0f518313f91b49b0d34713280858,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
26031,r_dns_a,Domain_598210ad69c47e79a3e2df7eabc5cad237260008198559acd74a307af0992e99,IP_5e9c7c67ebe8d16a7c644fa530f5378163399d0a5a0bc0401cd3dae83a910efd
87883,r_cidr,IP_4723a1321e964eb44f8e8c9f634c07984f07ef1d4fea5b848c57611066ef0db1,IP_CIDR_0b98cd8264c20227e89ee953aea6bf4362eefffc60a41c63598cc0bcb7eb81c9
88048,r_cname,Domain_3acaa528f64a286dc415cd13f2e14515e6b93847b8f3b604937c79cb01a5e864,Domain_8f2ab01d02639b48164ac1d14d1676e780fd31c9f203be8c12adb871161a38da
88715,r_subdomain,Domain_bf694f131769c5e0533f259f5eacb293df61eec41c817b1d2a75052649bfc2b1,Domain_6534f09344fa6fba88091ac186302f40c276ecf906cf99f4c244ed20b2c4cd5e
88751,r_cname,Domain_bf694f131769c5e0533f259f5eacb293df61eec41c817b1d2a75052649bfc2b1,Domain_78f228d71ea2646faa9415e7128596c3e1840ed9af012dd5b379d3ec4bf92de9
88760,r_cert,Domain_bf694f131769c5e0533f259f5eacb293df61eec41c817b1d2a75052649bfc2b1,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
89042,r_cname,Domain_b115de17df40242620d8cf1ed3d4439c3ae74bf7363635be5db2a2988aab0ef5,Domain_80324da1ce149c558585e293d2daa1034a4adc4080d7eb48d73b611f545d2d56
89308,r_subdomain,Domain_8999739220a34e8f2c33f127364b72aeadbace6e9920ea197697e613e89141c3,Domain_99bfb0876ad5d86d05ba81bb85ec3601bf2f11736dbf041bbe439165adea8a49
89346,r_cname,Domain_8999739220a34e8f2c33f127364b72aeadbace6e9920ea197697e613e89141c3,Domain_f363afc0b989a586250921cd871291e77b26a714772e240c3187810f808e7ccc
90629,r_subdomain,Domain_d010fd25507aa3158026d2a4183f909ccb0ad6dff42ed89a227088a75d779728,Domain_d3fe3ce435dbafb815de5241925a5a50f565850d5a13da3441b487cfbb88dc76
91359,r_cname,Domain_9e8f85c4321face784190fc820cdf4099f8591ca5aef0bd23b45dc32c3ae741f,Domain_aee57794557cfab708ce86ca8b11b68c3abec3a080c85d9b262be2236685fd51
91718,r_subdomain,Domain_365aa099b44f09c37520199e7bb416f086be93459e1b55797ed186176d236bc3,Domain_5a46bdc750ff57e3b90a40016da967050944886ca19752d68b3d766f474e8e60
91749,r_cname,Domain_365aa099b44f09c37520199e7bb416f086be93459e1b55797ed186176d236bc3,Domain_0a9291e16779c9dd5c9673325a3875b79461a1f662fe5b626eccede3d679aee0
91958,r_subdomain,Domain_04022dc8a6439004db731b3bee3915aec225da2f8061d8146a738c65fcb5d12b,Domain_5ab8ac1d96964be92e9019fccc5d664e1b506bb925078cf22cab40ac19ce8f8e
91994,r_cname,Domain_04022dc8a6439004db731b3bee3915aec225da2f8061d8146a738c65fcb5d12b,Domain_7d5f5e2a848bdd43a4adb0b184892ab73e68d4362c5f3bd3905a67d15e4b166f
92018,r_whois_name,Domain_04022dc8a6439004db731b3bee3915aec225da2f8061d8146a738c65fcb5d12b,Whois_Name_f85b1018e7f4932dc182bb059490aad7bc44c963c5792d93f7c7038717b7b0d1
92039,r_whois_email,Domain_04022dc8a6439004db731b3bee3915aec225da2f8061d8146a738c65fcb5d12b,Whois_Email_910eb6033328f3f3d2eae3a2ffae550e3a11f2fb5291c38a0f8f853f49d7fa03
92051,r_cert,Domain_04022dc8a6439004db731b3bee3915aec225da2f8061d8146a738c65fcb5d12b,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
92081,r_cname,Domain_c692c10f0264020426d63116bfcfd983316db5435de3b231a6a9ef31e9c4f471,Domain_5cd721c8a49134a1ff59c968ef49a7e8dcb50553cce09381f0eafe455a6a9488
92098,r_whois_name,Domain_c692c10f0264020426d63116bfcfd983316db5435de3b231a6a9ef31e9c4f471,Whois_Name_f85b1018e7f4932dc182bb059490aad7bc44c963c5792d93f7c7038717b7b0d1
92108,r_whois_email,Domain_c692c10f0264020426d63116bfcfd983316db5435de3b231a6a9ef31e9c4f471,Whois_Email_910eb6033328f3f3d2eae3a2ffae550e3a11f2fb5291c38a0f8f853f49d7fa03
92124,r_cert,Domain_c692c10f0264020426d63116bfcfd983316db5435de3b231a6a9ef31e9c4f471,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
92378,r_cname,Domain_2dc0dd0712d137bde494dc8d3e6f02d8618d3c0046723d8f35080bda7a8f31f9,Domain_0cde915235233fb841d7dd24495fbe54823d200133cc60deeee481eaea909239
92392,r_cert,Domain_2dc0dd0712d137bde494dc8d3e6f02d8618d3c0046723d8f35080bda7a8f31f9,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
92465,r_cert,Domain_7b3389ddb15cdf1cdc7032f912faebfad0570b31612b520f984cd72e744f2ba4,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
92498,r_subdomain,Domain_39be2afbbcfdf2a9de131749adc3149e5d13f32c3ee6b88e314791f022e4a332,Domain_6fe5299f3138ac3263d7327ad1a6f1f1869569cabeb19a06e777b0796b9d79f3
93044,r_subdomain,Domain_4227fb2dd9688f03625b1355b9941ee9b0ab4e577def7c3179303a96b3dff829,Domain_f70cc6bc0e9cadfb844c98af964b916744ff291c65e6cc2d64f9b145e1d3b4c6
93070,r_cname,Domain_4227fb2dd9688f03625b1355b9941ee9b0ab4e577def7c3179303a96b3dff829,Domain_bc5d6e80c6c50b67fc6b4fd0dba370256fbac9781e050ff5714deea56f83c343
93223,r_subdomain,Domain_01555a9b5f84626bb412ad29bac88c721da635b61dfebede4c596e37e316f193,Domain_11deb9a3601abe68ebb145e374792c0c33c58735cc8ecfd7a0e0c5bd8b624e5b
93257,r_cname,Domain_01555a9b5f84626bb412ad29bac88c721da635b61dfebede4c596e37e316f193,Domain_4f2184903b0c56f6d1d42a5a5e3c678bc75400fcb43a32e87f26eec540d17433
93488,r_cname,Domain_2ba3ae4b4241039ebe5eb62cd30d145052d3812f7a41291ca35d7318a29d4789,Domain_ba8ffa99c2dcddca2cfa732dae7b15fa50fb4d1ab1a9b3688f15e046d99d6e19
93783,r_cname,Domain_02ecf83282282da3919808ade1ac31e7538b7ad3f2e3dc2297cbfe9149143bfa,Domain_591b50037f1db8357b008bcfb3c1d7da55b6d308d1f4201384eccec4dc9f00c8
94018,r_subdomain,Domain_7604829f71a8e9b05a9d22dbdc4794e92a5d4acca2e1a827b0eb841661ed565d,Domain_7b25cd21c795e882d264986f6dfcbff6736631ce8db714aa26fcf58784e88f52
94048,r_cname,Domain_7604829f71a8e9b05a9d22dbdc4794e92a5d4acca2e1a827b0eb841661ed565d,Domain_a1e11fccbb1c8f4645ce1cd09bc04638265a92196be31a0086ce933e8d8d04db
94094,r_cname,Domain_da81b9dec1037a319be77e26bae3ccf3cba93bdf947a566c30f5186cd62f7efd,Domain_297e018647874d2f948abd7a355187848b0d3f0b5bdb55744cf79514ce860511
94352,r_cname,Domain_7ec3eddd9dac7db173d69934b478e7fa1ba6fe76e3563be32701ea956cabd5e8,Domain_16e215c8fb423913c876667191472cf63c63a4d3ec3d8f1dc6aef4848327c34d
94368,r_cert,Domain_7ec3eddd9dac7db173d69934b478e7fa1ba6fe76e3563be32701ea956cabd5e8,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
94565,r_cname,Domain_592309c75c5afd2f0b27a25b49814a8b91dcd56dc5053c181d1f9d858cedbe12,Domain_e7aab916f970b9feb248b81ec27e5f5868901801777b1dc31b2ee2a11a903eea
96218,r_asn,IP_a2794c275e85fb3b46b932dd1904e921553158e0a38a611c9773e1ce444ae6e5,ASN_ba4d3d8fe07b95ff5eef47988aa256fe23f807351784a9d5edb28c9287ac648a
96242,r_cidr,IP_a2794c275e85fb3b46b932dd1904e921553158e0a38a611c9773e1ce444ae6e5,IP_CIDR_04befea3b2e6f2421026c13e8e10d214641612388ee31f7825c80cf6db92e92c
96270,r_asn,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023,ASN_be98f3d98446e23a97c56062943febfd96f40b235915bad79dd9600375bda691
96295,r_cidr,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023,IP_CIDR_ebc6f5653e556eb28b2e81560e7863284caefeaf29146a3ca6e4e80e49c9fd8e
96340,r_dns_a,Domain_ba4a5426de616eb691b2177801e6c5591e346fc201807e0144e31ec1443c8a66,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
96485,r_cert,Domain_5ab8ac1d96964be92e9019fccc5d664e1b506bb925078cf22cab40ac19ce8f8e,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
96648,r_cert,Domain_ed285d6e89f094a8c8088cf369c0e8ac5ba3b6616fd2dece7087e59e6a541b5a,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
96987,r_dns_a,Domain_35993ddcf0fc04077c271ed58cc7e63bd81ab6b8cf9d893c7e9fe166cc592f00,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
97384,r_cert,Domain_b41f7c254ce6203bce04da3608fb56428805b657c3e18c55f8977b20d404660e,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
97403,r_dns_a,Domain_f71a00b309cb10197988a9984ec92b11179c61432e3c673e4052892a7d52d3f5,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
97450,r_dns_a,Domain_5b6302f47de7f9a8cc15bbb9e3bcd6cd60cbc0ad645e482be4a4f77953949ad8,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
97457,r_subdomain,Domain_9c320789c196cc61dacd9d98bb193b22e623042f23749a2d095b88e80f64bc00,Domain_f8e70221cd9d1aec2dd01e24139f685b795462d648ba89ccdffc421e2332285e
97472,r_dns_a,Domain_6a5e67a534a9563a753a0fe4abdc6d2fea7401d2b7c1443a34b95ae137847822,IP_a2794c275e85fb3b46b932dd1904e921553158e0a38a611c9773e1ce444ae6e5
97473,r_dns_a,Domain_c605ffeacd23c1a7b09f9e366c790768ace2c02754abba5f2268db44a641b859,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
97481,r_cname,Domain_5e8604757c6d9101fad9a11c86788683ba58936215fa06c3f7f3b3ddac015f74,Domain_48d0e03bf40ef87dcce9a757515dc6dceec631034f59aa06d39989b2c01e207a
97494,r_cname,Domain_9c320789c196cc61dacd9d98bb193b22e623042f23749a2d095b88e80f64bc00,Domain_6e1c8fd0ba27c237df41ebb4e4886e7e0a2fed39d08e16c5021241feafa70b3d
97497,r_dns_a,Domain_90174508419d83cbd6b8070a47a2e35fb0bb09639df23e4fbfa678011ecaa3a7,IP_a2794c275e85fb3b46b932dd1904e921553158e0a38a611c9773e1ce444ae6e5
97499,r_cert,Domain_5e8604757c6d9101fad9a11c86788683ba58936215fa06c3f7f3b3ddac015f74,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
97518,r_dns_a,Domain_b90a7d7165d563fe5dbf58196c2231a3c5cb9d77594e9518380c9eae8d7e379f,IP_a2794c275e85fb3b46b932dd1904e921553158e0a38a611c9773e1ce444ae6e5
